correo electrónico,Isla de Pascua ,Stonehenge,La Pirámide del Sol,Mezquita Azul,Caño Cristales,Desierto la Tatacoa,La Gran Muralla ,Las cataratas Victoria,Machu Picchu,Dubái,Petra, Angkor Wat,Pirámides de Giza,San Francisco,Taj Mahal,Bora Bora,Lamu,Serengeti,Bahía de Ha-Long,Cataratas de Iguazú,Chichen Itza,Tikal,Monte Fuji,Kilimanjaro,Montaña de la Mesa,Islas Galápagos,Islas Mauricio,Laguna Azul,Ciudad Prohibida,Alhambra de Granada
gzapanaca,4,4,4,4,4,,4,4,4,5,3,3,3,5,3,5,4,3,5,3,3,4,4,3,3,4,5,5,2,2
makarenavaldeiglesiassota,4,4,4,5,5,5,5,5,5,3,5,4,4,3,5,5,3,3,4,5,4,4,5,4,5,3,5,5,3,3
bebitofiufiu123,1,2,1,1,3,1,2,1,1,1,1,3,1,1,2,1,1,1,1,3,1,1,1,2,1,1,1,2,1,3
pveraa,3,2,3,4,3,4,4,3,2,4,3,5,1,5,1,5,1,1,5,1,1,1,5,1,1,1,5,5,3,4
larenaslo,4,4,3,5,5,2,5,5,5,5,5,4,4,4,5,5,5,4,5,4,4,5,5,4,4,5,5,5,4,4
peralta200424,5,5,5,5,4,4,5,4,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5
sharonzalet,4,3,5,4,5,5,4,5,4,3,5,4,4,3,5,5,4,4,5,5,,4,5,4,5,5,5,5,4,4
msonccoma,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,5,5,5,4,5,4,5,4
jochambiq,4,5,5,4,4,4,5,3,5,4,4,4,5,3,4,3,3,5,3,4,5,5,5,5,4,5,4,4,4,4
mhuarocc,5,3,5,5,5,5,5,4,4,4,3,4,3,3,5,5,2,4,5,3,3,3,5,3,5,3,5,5,5,3
agomeztit,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,3,5,5,5,5,4,5,5,5,5,5,5,4
acamargoca,3,5,2,2,2,3,4,4,4,1,4,2,3,1,4,4,3,2,3,2,1,3,2,3,4,5,2,2,4,2
enidangelesvalverdetarapaqui,1,5,4,5,3,5,5,3,4,3,5,5,4,4,5,5,3,5,3,5,3,3,5,5,3,4,5,5,4,1
bmatos,5,4,4,5,5,4,5,5,5,4,5,4,4,4,5,4,5,4,5,5,5,5,5,4,4,5,5,4,5,5
emersonchambi0216,4,4,4,5,5,4,5,5,4,5,3,5,3,5,3,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5
nayelytacopucho,4,4,5,5,5,4,5,5,5,5,4,4,4,4,5,5,5,5,5,5,4,4,5,5,5,5,5,3,4,4
olivercuellarhuaman,4,3,4,4,5,3,5,5,4,5,3,3,3,4,1,1,3,4,5,4,3,3,4,2,2,3,2,1,4,3
raissasiza,4,5,4,5,5,3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5
danielucruz990,5,5,4,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,4,5,5,4
mariachoqueapaza211,4,3,4,4,5,3,3,4,5,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
katherineanamuro,5,4,5,5,3,3,5,4,5,5,4,5,4,4,5,4,3,3,4,3,4,3,4,4,3,4,3,4,5,4
marinelacahuanaturpo,3,3,4,4,4,3,5,5,5,4,3,4,4,5,3,4,3,4,4,3,4,4,3,3,3,3,4,3,2,4
patrickcuttij,4,3,5,2,4,1,5,4,3,5,4,3,5,2,4,4,1,3,3,4,5,5,4,2,4,3,5,4,5,4
enidangelesvalverdetarapaqui,3,5,3,5,5,3,5,4,4,5,5,,5,3,5,5,3,5,5,3,1,3,4,5,1,5,5,5,5,4
colquejuan251,4,4,5,3,5,1,5,3,4,1,4,3,3,4,5,4,3,2,3,5,3,4,5,3,5,4,5,1,3,4
yespinozat,4,3,4,3,5,5,3,5,4,5,3,3,4,2,3,5,2,4,4,5,3,3,3,5,5,2,4,4,4,4
lapazav,1,1,5,5,4,2,5,5,4,5,1,3,5,2,5,3,5,1,5,3,3,5,3,2,3,3,3,,5,4
elhuamani,4,2,3,2,2,5,5,5,3,4,4,4,5,3,3,2,1,1,4,4,2,3,5,5,5,1,1,5,2,2
edison.ct.2020,5,5,2,1,5,1,5,5,5,5,3,3,5,5,3,5,3,5,5,5,4,4,5,5,5,5,4,5,1,5
depamfe,4,5,4,5,2,2,5,2,4,5,2,2,4,3,5,2,2,2,2,2,4,4,3,2,2,2,3,3,2,3
santos.r,4,4,5,5,5,4,5,5,4,5,5,5,4,4,5,5,4,5,5,5,4,4,5,5,5,4,5,5,5,5
dbozaa,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4
shanccohui,3,3,4,3,3,2,4,5,4,3,5,4,3,3,3,2,2,3,3,4,4,4,1,3,3,2,2,3,3,3
